Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|Q64436|ATP4A_MOUSE	Q64436	ATP4A_MOUSE	Atp4a	1034	Mus musculus OX=10090	Potassium-transporting ATPase alpha chain 1 	1:Experimental evidence at protein level	0.9973	0.9982	1	1	1	1	1	1	90582961	2683784	2683784	15C(57.0214), 18K(229.1629), N-term(229.1629)			108297.2776	228510.3359	81799.4771	198660.3084	234977.3438	206421.3775	250635.6835	209971.1410	204557.5807	157206.5520
sp|Q922X9|ANM7_MOUSE	Q922X9	ANM7_MOUSE	Prmt7	692	Mus musculus OX=10090	Protein arginine N-methyltransferase 7 	1:Experimental evidence at protein level	0.9973	0.9988	2	2	2	2	2	2	2633383	2633383	2633383	7C(57.0214), 7K(229.1629), N-term(229.1629)			79093.0430	97029.7684	74071.5283	69745.5447	121675.4395	100282.2190	109471.4507	97661.8948	105691.7952	90073.2505
sp|P19973-2|LSP1_MOUSE	P19973-2	LSP1_MOUSE	Lsp1	328	Mus musculus OX=10090	Isoform 2 of Lymphocyte-specific protein 1 		0.9972	0.9980	2	0	2	3	0	3	1587940	     0	1587940	8K(229.1629), N-term(229.1629)		sp|P19973|LSP1_MOUSE	178270.0972	216983.7712	147071.8794	155142.4156	263566.0352	186643.6221	192293.5917	176046.3392	156504.6853	148305.4508
sp|Q3UYV9|NCBP1_MOUSE	Q3UYV9	NCBP1_MOUSE	Ncbp1	790	Mus musculus OX=10090	Nuclear cap-binding protein subunit 1 	1:Experimental evidence at protein level	0.9972	0.9990	2	2	2	2	2	2	306712	306712	306712	11K(229.1629), 12K(229.1629), 9C(57.0214), N-term(229.1629)			26816.8168	17620.0517	30889.7576	25134.8613	29702.4458	21402.0326	39598.7365	33304.7035	33657.4887	33269.7616
sp|P29391|FRIL1_MOUSE	P29391	FRIL1_MOUSE	Ftl1	183	Mus musculus OX=10090	Ferritin light chain 1 	1:Experimental evidence at protein level	0.9971	0.9990	2	2	2	2	2	2	2461027	2461027	2461027	N-term(229.1629)			74429.5922	66675.0810	48953.5953	70989.3322	115438.8320	81882.7913	114841.6546	95982.9802	89241.6697	101322.7270
sp|Q3UCV8|OTUL_MOUSE	Q3UCV8	OTUL_MOUSE	Otulin	352	Mus musculus OX=10090	Ubiquitin thioesterase otulin 	1:Experimental evidence at protein level	0.9971	0.9969	3	3	3	3	3	3	2091647	2091647	2091647	2C(57.0214), 7K(229.1629), N-term(229.1629)			58065.4712	60654.1987	46182.7125	66040.5773	80392.6328	64018.1119	96922.9240	77309.8949	82751.7290	90655.9952
sp|Q8BW41-2|PMGT2_MOUSE	Q8BW41-2	PMGT2_MOUSE	Pomgnt2	580	Mus musculus OX=10090	Isoform 2 of Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 		0.9971	0.9990	2	0	2	2	0	2	3956565	     0	3956565	7M(15.9949), N-term(229.1629)		sp|Q8BW41|PMGT2_MOUSE	184212.6219	194500.1395	153607.6198	134183.9652	212606.0840	164454.3041	229582.6120	197545.6662	185831.9414	170079.1207
sp|P43883|PLIN2_MOUSE	P43883	PLIN2_MOUSE	Plin2	425	Mus musculus OX=10090	Perilipin-2 	1:Experimental evidence at protein level	0.9970	0.9989	2	2	2	2	2	2	1273972	1273972	1273972	N-term(229.1629)			38692.0293	36084.7600	23635.1750	35390.9937	35726.1748	43418.2909	44310.6424	31372.3429	39634.6858	31403.7368
sp|P97411-2|ICA69_MOUSE	P97411-2	ICA69_MOUSE	Ica1	457	Mus musculus OX=10090	Isoform 2 of Islet cell autoantigen 1 		0.9970	0.9983	1	0	1	4	0	4	67207766	     0	67207766	11K(229.1629), 37K(229.1629), 40K(229.1629), 5S(229.1629)		sp|P97411|ICA69_MOUSE	461995.6461	238066.0213	580485.0847	800139.9377	633895.7500	1219985.1347	800289.1459	464518.4479	468639.3910	474283.5402
sp|Q8C129|LCAP_MOUSE	Q8C129	LCAP_MOUSE	Lnpep	1025	Mus musculus OX=10090	Leucyl-cystinyl aminopeptidase 	1:Experimental evidence at protein level	0.9970	0.9990	2	2	2	2	2	2	2431458	2431458	2431458	3C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			123282.3799	123305.8188	93254.6136	95682.0220	145846.4688	124311.2864	138714.3988	123165.5205	113284.3138	120469.7924
sp|Q8VHC3|SELM_MOUSE	Q8VHC3	SELM_MOUSE	Selenom	145	Mus musculus OX=10090	Selenoprotein M 	1:Experimental evidence at protein level	0.9970	0.9990	2	2	2	2	2	2	1934206	1934206	1934206	N-term(229.1629)			79441.5034	94094.3158	77993.2246	65094.7563	99658.5898	92558.3522	75828.5926	68682.2378	71827.7643	64034.1557
sp|E9Q5M6|CFA44_MOUSE	E9Q5M6	CFA44_MOUSE	Cfap44	1843	Mus musculus OX=10090	Cilia- and flagella-associated protein 44 	2:Experimental evidence at transcript level	0.9969	0.9989	2	2	2	8	8	8	98136130	98136130	98136130	13K(229.1629), 3S(229.1629), 4K(229.1629), 5M(15.9949), 6M(15.9949)			1184040.6857	1483716.8012	976910.6796	1051399.4743	1441065.9702	1068407.9322	987474.4872	898290.4799	1019019.3313	704047.3687
sp|Q80U95|UBE3C_MOUSE	Q80U95	UBE3C_MOUSE	Ube3c	1083	Mus musculus OX=10090	Ubiquitin-protein ligase E3C 	1:Experimental evidence at protein level	0.9969	0.9990	2	2	2	3	3	3	4156002	4156002	4156002	8K(229.1629), N-term(229.1629)			122266.7226	143400.7222	145024.8720	96963.7261	130375.8457	110815.1600	120465.8660	100540.0798	101289.6963	69575.1269
sp|Q8BGX2|TIM29_MOUSE	Q8BGX2	TIM29_MOUSE	Timm29	266	Mus musculus OX=10090	Mitochondrial import inner membrane translocase subunit Tim29 	1:Experimental evidence at protein level	0.9969	0.9990	2	2	2	2	2	2	433638	433638	433638	4C(57.0214), N-term(229.1629)			15742.4967	18476.0752	9732.1677	19982.6983	25554.0381	15364.8818	25993.5724	29191.4440	17915.3051	23325.1200
sp|Q80TN4|DJC16_MOUSE	Q80TN4	DJC16_MOUSE	Dnajc16	772	Mus musculus OX=10090	DnaJ homolog subfamily C member 16 	1:Experimental evidence at protein level	0.9968	0.9987	2	2	2	2	2	2	267573	267573	267573	14K(229.1629), N-term(229.1629)			27009.9960	22010.5407	30199.4781	38097.0184	43483.9673	43153.4212	50810.4413	39848.9449	55581.4828	43544.6491
sp|Q9DBL9-2|ABHD5_MOUSE	Q9DBL9-2	ABHD5_MOUSE	Abhd5	198	Mus musculus OX=10090	Isoform 2 of 1-acylglycerol-3-phosphate O-acyltransferase ABHD5 		0.9968	0.9990	2	0	2	2	0	2	871234	     0	871234	N-term(229.1629)		sp|Q9DBL9|ABHD5_MOUSE	43107.5580	22101.5196	30549.5005	33060.3553	43013.4282	28882.2537	50997.7988	29610.7453	46796.4988	37874.9267
sp|Q9JLJ2-2|AL9A1_MOUSE	Q9JLJ2-2	AL9A1_MOUSE	Aldh9a1	518	Mus musculus OX=10090	Isoform 2 of 4-trimethylaminobutyraldehyde dehydrogenase 		0.9968	0.9987	2	0	2	2	0	2	2758460	     0	2758460	11K(229.1629), 7C(57.0214), N-term(229.1629)		sp|Q9JLJ2|AL9A1_MOUSE	93440.9493	94902.3192	70042.6661	75802.4121	125842.7285	88986.6539	118555.4393	89442.4592	88844.2010	86766.0803
sp|Q3TXU5|DHYS_MOUSE	Q3TXU5	DHYS_MOUSE	Dhps	369	Mus musculus OX=10090	Deoxyhypusine synthase 	1:Experimental evidence at protein level	0.9966	0.9982	2	2	2	3	3	3	551857	551857	551857	1C(57.0214), 9M(15.9949), N-term(229.1629)			30217.0560	26531.1097	20967.8207	10324.0823	110674.3467	23443.7472	37995.4087	28911.0009	25472.6118	22791.9954
sp|Q8C6G8|WDR26_MOUSE	Q8C6G8	WDR26_MOUSE	Wdr26	641	Mus musculus OX=10090	WD repeat-containing protein 26 	1:Experimental evidence at protein level	0.9966	0.9953	3	3	3	3	3	3	714227	714227	714227	5S(229.1629), 8K(229.1629), N-term(229.1629)			141123.2137	163855.6284	107676.7647	104255.2998	168215.2207	151989.4830	138548.1063	120618.2713	138501.6672	108737.0761
sp|Q9D8L5|CCD91_MOUSE	Q9D8L5	CCD91_MOUSE	Ccdc91	442	Mus musculus OX=10090	Coiled-coil domain-containing protein 91 	1:Experimental evidence at protein level	0.9966	0.9988	2	2	2	3	3	3	1114814	1114814	1114814	9K(229.1629), N-term(229.1629)			27782.6017	35602.4772	30679.0109	30002.0060	44029.6050	39533.9875	46626.5182	35932.2853	31481.2734	39161.7900
sp|Q3UZP4|SVIP_MOUSE	Q3UZP4	SVIP_MOUSE	Svip	77	Mus musculus OX=10090	Small VCP/p97-interacting protein 	3:Protein inferred from homology	0.9965	0.9987	2	2	2	2	2	2	3014604	807698	3014604	11K(229.1629), N-term(229.1629)			48236.6361	45405.8344	38780.5095	44729.4929	63546.5391	57849.7014	49244.4623	51761.3187	47416.8960	54615.7298
sp|Q4VA53-3|PDS5B_MOUSE	Q4VA53-3	PDS5B_MOUSE	Pds5b	1448	Mus musculus OX=10090	Isoform 3 of Sister chromatid cohesion protein PDS5 homolog B 		0.9965	0.9990	2	0	2	3	0	3	2093524	     0	2093524	7K(229.1629), N-term(229.1629)		sp|Q4VA53|PDS5B_MOUSE	136149.7123	108104.3114	105262.6470	115524.2594	169996.3594	130955.0119	133424.2894	102049.2719	118351.9903	121560.2251
sp|Q6PDH0-2|PHLB1_MOUSE	Q6PDH0-2	PHLB1_MOUSE	Phldb1	1449	Mus musculus OX=10090	Isoform 2 of Pleckstrin homology-like domain family B member 1 		0.9965	0.9990	3	0	3	4	0	4	2668138	     0	2668138	7K(229.1629), N-term(229.1629)		sp|Q6PDH0|PHLB1_MOUSE	91904.3055	104823.9989	74474.1032	185832.7998	144405.3574	170093.3659	199429.6903	174143.4315	148335.3382	166818.2534
sp|Q6PGF7|EXOC8_MOUSE	Q6PGF7	EXOC8_MOUSE	Exoc8	716	Mus musculus OX=10090	Exocyst complex component 8 	1:Experimental evidence at protein level	0.9965	0.9990	2	2	2	3	3	3	1948634	1948634	1948634	8K(229.1629), N-term(229.1629)			43090.1331	65951.7912	38305.7381	49662.5357	50612.0469	48799.2220	39858.3751	26379.7118	30378.4047	26451.1587
sp|Q8BRN9|C2D1B_MOUSE	Q8BRN9	C2D1B_MOUSE	Cc2d1b	848	Mus musculus OX=10090	Coiled-coil and C2 domain-containing protein 1B 	1:Experimental evidence at protein level	0.9965	0.9955	2	2	2	2	2	2	2034303	2034303	2034303	10K(229.1629), 8K(229.1629), N-term(229.1629)			99421.7427	92278.2287	79519.9189	86919.6390	112172.5449	86072.4697	88829.3058	84808.5327	77174.4987	78083.4327
sp|Q91WE4|CR032_MOUSE	Q91WE4	CR032_MOUSE		72	Mus musculus OX=10090	UPF0729 protein C18orf32 homolog 	3:Protein inferred from homology	0.9964	0.9990	3	3	3	3	3	3	20032052	20032052	20032052	10K(229.1629), 8K(229.1629), N-term(229.1629)			127636.3065	171962.4461	99318.0586	88109.6833	151962.2578	157025.6496	129883.8772	120174.3932	118065.0856	75192.6484
sp|Q9CQE7-2|ERGI3_MOUSE	Q9CQE7-2	ERGI3_MOUSE	Ergic3	394	Mus musculus OX=10090	Isoform 2 of Endoplasmic reticulum-Golgi intermediate compartment protein 3 		0.9964	0.9975	2	0	2	6	0	6	2712047	     0	2712047	11K(229.1629), N-term(229.1629)		sp|Q9CQE7|ERGI3_MOUSE	178750.3782	211031.5614	148796.1874	175841.8836	221729.6460	192643.3106	242186.6826	207804.3365	234174.6344	219377.3983
sp|Q9D7N6|RM30_MOUSE	Q9D7N6	RM30_MOUSE	Mrpl30	160	Mus musculus OX=10090	39S ribosomal protein L30, mitochondrial 	1:Experimental evidence at protein level	0.9964	0.9986	2	2	2	2	2	2	1768696	1768696	1768696	11K(229.1629), 5K(229.1629), 8K(229.1629), N-term(229.1629)			60944.3255	59420.6756	51732.4249	38754.5467	66438.7422	62913.2165	48719.3358	40736.1402	38949.4780	37436.6590
sp|P61148|FGF1_MOUSE	P61148	FGF1_MOUSE	Fgf1	155	Mus musculus OX=10090	Fibroblast growth factor 1 	1:Experimental evidence at protein level	0.9963	0.9990	2	2	2	2	2	2	190360	190360	190360	9K(229.1629), N-term(229.1629)			24476.6730	10636.8736	15724.1199	23913.7809	25713.6738	27172.6285	35468.6052	24786.7933	37761.4407	35279.3001
sp|Q04735-2|CDK16_MOUSE	Q04735-2	CDK16_MOUSE	Cdk16	461	Mus musculus OX=10090	Isoform Short of Cyclin-dependent kinase 16 		0.9963	0.9984	2	0	2	2	0	2	2742466	     0	945704	11K(229.1629), 3K(229.1629), N-term(229.1629)		sp|Q04735|CDK16_MOUSE	82684.4320	78150.1072	73660.0193	77837.1090	96968.4043	104508.9486	114084.5067	92448.7880	91499.6281	90785.6041
sp|Q9CPW3|RM54_MOUSE	Q9CPW3	RM54_MOUSE	Mrpl54	135	Mus musculus OX=10090	39S ribosomal protein L54, mitochondrial 	1:Experimental evidence at protein level	0.9963	0.9987	2	2	2	2	2	2	1672431	1672431	1672431	18K(229.1629), 1K(229.1629), N-term(229.1629)			97800.6641	103588.5638	77955.6323	83489.0304	121763.7500	111524.3024	115378.5127	96961.7387	104644.1306	100377.6188
sp|Q8BVA4|LMOD1_MOUSE	Q8BVA4	LMOD1_MOUSE	Lmod1	595	Mus musculus OX=10090	Leiomodin-1 	1:Experimental evidence at protein level	0.9962	0.9989	2	2	2	2	2	2	1130095	1130095	1130095	5C(57.0214), 8K(229.1629), N-term(229.1629)			35639.3643	29410.0571	27443.9941	24595.3547	45169.0469	30510.3234	30247.9278	22416.1596	26813.1063	19745.3947
sp|Q9JHK5|PLEK_MOUSE	Q9JHK5	PLEK_MOUSE	Plek	350	Mus musculus OX=10090	Pleckstrin 	1:Experimental evidence at protein level	0.9962	0.9990	2	2	2	2	2	2	3269053	3269053	3269053	1K(229.1629), 7K(229.1629), N-term(229.1629)			89473.9274	105975.7503	65640.7228	60049.1811	107110.9463	85024.4715	79325.0733	71527.8857	71631.9647	67118.7982
sp|Q8C079-2|STRP1_MOUSE	Q8C079-2	STRP1_MOUSE	Strip1	429	Mus musculus OX=10090	Isoform 2 of Striatin-interacting protein 1 		0.9961	0.9988	2	0	2	2	0	2	1776392	     0	1776392	10K(229.1629), 12K(229.1629), N-term(229.1629)		sp|Q8C079-3|STRP1_MOUSE, sp|Q8C079|STRP1_MOUSE	68215.1673	84118.2776	62365.7435	73797.2593	106663.7344	85656.3776	104865.3453	91930.5555	102450.8342	83170.0612
sp|Q64311|NTAN1_MOUSE	Q64311	NTAN1_MOUSE	Ntan1	310	Mus musculus OX=10090	Protein N-terminal asparagine amidohydrolase 	1:Experimental evidence at protein level	0.9960	0.9983	2	2	2	2	2	2	563364	563364	563364	10S(229.1629), 8K(229.1629), N-term(229.1629)			38213.2521	47973.1213	32516.4452	49879.6406	71117.4141	59037.1583	83965.7360	54064.8519	54186.2528	60376.6550
sp|Q3TCN2-2|PLBL2_MOUSE	Q3TCN2-2	PLBL2_MOUSE	Plbd2	451	Mus musculus OX=10090	Isoform 2 of Putative phospholipase B-like 2 		0.9959	0.9990	2	0	2	3	0	3	2826490	     0	2826490	N-term(229.1629)		sp|Q3TCN2|PLBL2_MOUSE	162290.7682	140555.5981	119678.7656	130509.7866	204074.0957	147883.4633	182028.7495	170502.4147	174453.8004	159022.8509
sp|Q64739-1|COBA2_MOUSE	Q64739-1	COBA2_MOUSE	Col11a2	1650	Mus musculus OX=10090	Isoform 7 of Collagen alpha-2(XI) chain 		0.9959	0.9990	3	0	3	4	0	4	231856358	     0	231856358	18K(229.1629), 6M(15.9949), 8K(229.1629), 9S(229.1629), N-term(229.1629)		sp|Q64739-3|COBA2_MOUSE, sp|Q64739-4|COBA2_MOUSE, sp|Q64739-5|COBA2_MOUSE, sp|Q64739-6|COBA2_MOUSE, sp|Q64739-7|COBA2_MOUSE, sp|Q64739|COBA2_MOUSE	824869.0652	1083685.6917	593135.0256	703165.7808	1239316.6328	888525.8687	986194.7365	930725.5965	773281.1725	553497.7897
sp|Q8BHL3|TB10B_MOUSE	Q8BHL3	TB10B_MOUSE	Tbc1d10b	798	Mus musculus OX=10090	TBC1 domain family member 10B 	1:Experimental evidence at protein level	0.9959	0.9990	2	2	2	3	3	3	2196914	2196914	2196914	13K(229.1629), 5M(15.9949), N-term(229.1629)			81129.6459	63720.1360	59598.5043	62361.1235	85141.1099	78176.0674	88463.0416	96607.1526	87594.9120	95771.5994
sp|Q61112|CAB45_MOUSE	Q61112	CAB45_MOUSE	Sdf4	361	Mus musculus OX=10090	45 kDa calcium-binding protein 	1:Experimental evidence at protein level	0.9957	0.9990	2	1	2	2	1	2	1055292	165770	1055292	10K(229.1629), 8K(229.1629), N-term(229.1629)			95880.9382	123133.2828	89808.6972	92706.0338	129213.9727	129554.4263	132637.8706	95264.2844	106925.9026	115662.7269
sp|Q99NH0|ANR17_MOUSE	Q99NH0	ANR17_MOUSE	Ankrd17	2603	Mus musculus OX=10090	Ankyrin repeat domain-containing protein 17 	1:Experimental evidence at protein level	0.9957	0.9989	2	1	2	2	1	2	1988834	1764319	1988834	12K(229.1629), 19K(229.1629), N-term(229.1629)			46862.5862	34787.8250	30859.9853	53702.4884	59207.5928	52493.3740	70540.8329	47954.8364	62015.1031	58952.2014
sp|Q9JI78|NGLY1_MOUSE	Q9JI78	NGLY1_MOUSE	Ngly1	651	Mus musculus OX=10090	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase 	1:Experimental evidence at protein level	0.9956	0.9961	2	2	2	2	2	2	207694	207694	207694	N-term(229.1629)			8238.6178	11397.9623	8626.1188	11175.8639	13701.7324	11031.7754	14946.8167	11188.1737	16231.0866	13941.5927
sp|Q9R118|HTRA1_MOUSE	Q9R118	HTRA1_MOUSE	Htra1	480	Mus musculus OX=10090	Serine protease HTRA1 	1:Experimental evidence at protein level	0.9955	0.9988	2	1	2	2	1	2	1612270	167731	1346900	7K(229.1629), N-term(229.1629)			82583.8942	99180.8581	67534.9283	10904.6615	64273.6436	21534.3861	38509.4562	35998.7908	30207.0965	29172.5639
sp|Q9CYK1|SYWM_MOUSE	Q9CYK1	SYWM_MOUSE	Wars2	360	Mus musculus OX=10090	Tryptophan--tRNA ligase, mitochondrial 	1:Experimental evidence at protein level	0.9954	0.9990	2	2	2	3	3	3	591112	591112	591112	10K(229.1629), 9K(229.1629), N-term(229.1629)			21572.0573	16518.2269	12707.1773	23543.9176	23810.7393	14439.4838	21177.7715	15333.3562	19562.5062	18919.8027
sp|P01664|KV3AC_MOUSE	P01664	KV3AC_MOUSE		111	Mus musculus OX=10090	Ig kappa chain V-III region CBPC 101 	1:Experimental evidence at protein level	0.9953	0.9990	2	0	2	3	0	3	12626112	     0	4262830	N-term(229.1629)			21382.1426	9122.8019	16520.6575	18701.6895	21699.6284	33689.5063	28971.7059	25961.7040	41622.4412	34778.6112
sp|P11930|NUD19_MOUSE	P11930	NUD19_MOUSE	Nudt19	357	Mus musculus OX=10090	Acyl-coenzyme A diphosphatase NUDT19 	1:Experimental evidence at protein level	0.9953	0.9990	2	2	2	2	2	2	2279940	2279940	2279940	N-term(229.1629)			63832.4533	37354.4279	80346.6858	56253.8545	69854.9180	68963.1072	80851.4437	69549.5040	70317.4952	80652.9710
sp|Q3UMW7-2|MAPK3_MOUSE	Q3UMW7-2	MAPK3_MOUSE	Mapkapk3	227	Mus musculus OX=10090	Isoform 2 of MAP kinase-activated protein kinase 3 		0.9953	0.9990	1	0	1	1	0	1	14312583	     0	605721	N-term(229.1629)		sp|Q3UMW7-3|MAPK3_MOUSE, sp|Q3UMW7|MAPK3_MOUSE	42034.4818	31408.7478	21909.9772	38913.7869	34867.2148	32299.4028	56450.4584	41653.6430	62151.9671	55768.7120
sp|Q5FWK3|RHG01_MOUSE	Q5FWK3	RHG01_MOUSE	Arhgap1	439	Mus musculus OX=10090	Rho GTPase-activating protein 1 	1:Experimental evidence at protein level	0.9953	0.9981	2	2	2	2	2	2	1645689	1645689	1645689	10K(229.1629), 7K(229.1629), N-term(229.1629)			139186.7580	128005.0160	115853.0957	130386.8351	173156.4922	130420.4725	131522.0886	110122.2289	109271.0757	106209.1315
sp|Q8K2Q5|CHCH7_MOUSE	Q8K2Q5	CHCH7_MOUSE	Chchd7	85	Mus musculus OX=10090	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7 	1:Experimental evidence at protein level	0.9953	0.9990	2	2	2	2	2	2	1004938	1004938	1004938	1C(57.0214), 2M(15.9949), 9C(57.0214), N-term(229.1629)			32355.8288	42792.2146	26334.9175	25786.2502	38483.9121	37232.1264	28645.5876	13539.0587	24376.5736	17948.6391
sp|O35900|LSM2_MOUSE	O35900	LSM2_MOUSE	Lsm2	95	Mus musculus OX=10090	U6 snRNA-associated Sm-like protein LSm2 	1:Experimental evidence at protein level	0.9952	0.9990	2	2	2	2	2	2	1065409	1065409	1065409	11K(229.1629), N-term(229.1629)			44237.1924	29626.1198	21648.0099	32508.9015	46870.8262	40073.9133	56601.9903	35196.1599	54640.6837	52929.1117
sp|Q7TMB8-2|CYFP1_MOUSE	Q7TMB8-2	CYFP1_MOUSE	Cyfip1	1251	Mus musculus OX=10090	Isoform 2 of Cytoplasmic FMR1-interacting protein 1 		0.9950	0.9990	2	0	2	2	0	2	916738	     0	916738	N-term(229.1629)		sp|Q7TMB8|CYFP1_MOUSE	5223.7123	6094.5979	5843.0247	4554.3167	7099.4653	6077.4727	10183.9472	5002.9746	3217.4223	4703.1867
sp|P11859|ANGT_MOUSE	P11859	ANGT_MOUSE	Agt	477	Mus musculus OX=10090	Angiotensinogen 	1:Experimental evidence at protein level	0.9947	0.9990	2	2	2	3	3	3	569945	569945	569945	27K(229.1629), 3C(57.0214), N-term(229.1629)			28938.4028	20306.3173	24380.1247	24864.1981	47182.4033	27740.1508	57293.4461	48029.2741	52084.6446	53422.5530
sp|Q99MT2|MSH4_MOUSE	Q99MT2	MSH4_MOUSE	Msh4	958	Mus musculus OX=10090	MutS protein homolog 4 	2:Experimental evidence at transcript level	0.9947	0.9963	1	1	1	3	3	3	20632776	20632776	20632776	12K(229.1629), 4S(229.1629)			321034.3436	294453.3962	312076.6745	414767.2045	399439.6914	434577.1301	217597.3171	173608.4957	163995.5325	161926.4741
sp|Q99PW4|PRPKB_MOUSE	Q99PW4	PRPKB_MOUSE	Tp53rkb	244	Mus musculus OX=10090	EKC/KEOPS complex subunit Tp53rkb 	2:Experimental evidence at transcript level	0.9947	0.9990	2	2	2	2	2	2	1240554	1240554	1240554	9K(229.1629), N-term(229.1629)			30456.4911	23046.4788	26281.2836	38138.7972	51440.1055	46353.6509	42050.0970	38968.8154	48135.4276	39076.9564
sp|Q9D0L4-2|ADCK1_MOUSE	Q9D0L4-2	ADCK1_MOUSE	Adck1	333	Mus musculus OX=10090	Isoform 2 of AarF domain-containing protein kinase 1 		0.9947	0.9990	2	0	2	2	0	2	6621026	     0	6621026	11K(229.1629), 12C(57.0214), N-term(229.1629)		sp|Q9D0L4|ADCK1_MOUSE	824075.4497	806667.2467	592354.6278	672073.1109	869625.0098	694729.2991	673164.1159	564188.4478	569597.6817	531305.7124
sp|Q9WUD1|CHIP_MOUSE	Q9WUD1	CHIP_MOUSE	Stub1	304	Mus musculus OX=10090	E3 ubiquitin-protein ligase CHIP 	1:Experimental evidence at protein level	0.9947	0.9975	2	2	2	2	2	2	1525035	1525035	1525035	7C(57.0214), 9K(229.1629), N-term(229.1629)			52808.6504	62508.1718	34545.6893	46105.7272	60797.4805	58262.2326	55445.3802	56074.5412	73855.1594	54473.8750
sp|P20060|HEXB_MOUSE	P20060	HEXB_MOUSE	Hexb	536	Mus musculus OX=10090	Beta-hexosaminidase subunit beta 	1:Experimental evidence at protein level	0.9946	0.9987	2	2	2	2	2	2	1925156	1925156	1925156	12C(57.0214), 17K(229.1629), N-term(229.1629)			45773.4429	31720.5188	27332.5338	33388.8556	58269.4160	35428.4598	66358.6335	53914.2118	39673.9890	49904.3845
sp|Q8R054|SRPX2_MOUSE	Q8R054	SRPX2_MOUSE	Srpx2	468	Mus musculus OX=10090	Sushi repeat-containing protein SRPX2 	1:Experimental evidence at protein level	0.9946	0.9990	2	2	2	2	2	2	1478178	1478178	1478178	10S(229.1629), 15K(229.1629), N-term(229.1629)			89497.2009	55101.0603	45599.4678	61652.0483	83549.0273	44978.2710	66205.8661	66926.4789	59072.5223	54509.6195
sp|Q8BU31|RAP2C_MOUSE	Q8BU31	RAP2C_MOUSE	Rap2c	183	Mus musculus OX=10090	Ras-related protein Rap-2c 	1:Experimental evidence at protein level	0.9944	0.9978	2	1	2	3	2	3	4345771	495670	4345771	9K(229.1629), N-term(229.1629)			47819.8365	42517.3621	32557.7404	37944.0245	56907.5854	56816.6791	68278.2702	45520.9909	54398.7087	53761.2795
sp|P83917|CBX1_MOUSE	P83917	CBX1_MOUSE	Cbx1	185	Mus musculus OX=10090	Chromobox protein homolog 1 	1:Experimental evidence at protein level	0.9943	0.9990	2	2	2	2	2	2	5085349	4048380	4048380	11K(229.1629), 5K(229.1629), N-term(229.1629)			266178.0297	249449.0822	184075.7809	146574.6882	351473.4062	227551.7600	259581.4190	219038.0120	217581.0702	170047.0541
sp|Q3TAS6-2|EMC10_MOUSE	Q3TAS6-2	EMC10_MOUSE	Emc10	254	Mus musculus OX=10090	Isoform 2 of ER membrane protein complex subunit 10 		0.9943	0.9990	2	0	2	2	0	2	638740	     0	638740	2K(229.1629), 8K(229.1629), N-term(229.1629)		sp|Q3TAS6|EMC10_MOUSE	41599.4214	50295.0587	36754.3252	30037.6439	52057.2383	36555.3941	49903.1320	27839.7443	54613.2503	34110.8778
sp|Q6A039|TBC12_MOUSE	Q6A039	TBC12_MOUSE	Tbc1d12	696	Mus musculus OX=10090	TBC1 domain family member 12 	1:Experimental evidence at protein level	0.9943	0.9980	1	1	1	10	10	10	17201212	17201212	17201212	11K(229.1629), 6M(15.9949), N-term(229.1629)			648942.6534	789785.8947	600569.8609	643781.3206	903198.6445	815569.6714	879390.2526	813676.8611	763710.5324	689160.2772
sp|G5E8V9-2|ARFP1_MOUSE	G5E8V9-2	ARFP1_MOUSE	Arfip1	341	Mus musculus OX=10090	Isoform 2 of Arfaptin-1 		0.9939	0.9990	2	0	2	3	0	3	1758153	     0	1758153	12K(229.1629), 4S(229.1629), 7K(229.1629), N-term(229.1629)		sp|G5E8V9-3|ARFP1_MOUSE, sp|G5E8V9|ARFP1_MOUSE	61934.8397	55747.3058	47867.1412	50133.7751	72107.7852	63878.8422	54016.8039	52029.4791	48666.3742	45644.1879
sp|P06327|HVM52_MOUSE	P06327	HVM52_MOUSE	Gm5629	117	Mus musculus OX=10090	Ig heavy chain V region VH558 A1/A4 	2:Experimental evidence at transcript level	0.9939	0.9942	1	1	1	3	3	3	7919416	7919416	7919416	7K(229.1629), N-term(229.1629)			212671.7225	238597.3238	167726.4345	154419.9415	277182.1270	147084.8351	254165.8443	196926.5146	185854.8152	173856.1389
